timestamp,header.stamp.sec,header.stamp.nanosec,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1742664820015826117,1742664820,14562080,odom,1.4988297310555816,0.0037466728778436957,0.0,0.0,0.0,-0.005922795333798474,0.9999956150651339
1742664820066574652,1742664820,64928777,odom,1.5054732222807143,0.003707324378905656,0.0,0.0,0.0,-0.006498622657917769,0.9999947209925885
1742664820115843869,1742664820,114504776,odom,1.511707860979368,0.003666807244218536,0.0,0.0,0.0,-0.00394853022253232,0.9999980511392682
1742664820165662076,1742664820,164547635,odom,1.5168387303532607,0.0036465477461398704,0.0,0.0,0.0,0.010364891834147282,0.999986571157214
1742664820216125385,1742664820,214940868,odom,1.5208042401156294,0.0036876512978362714,0.0,0.0,0.0,0.02599449063167099,0.9999155369961266
1742664820265843424,1742664820,264513720,odom,1.5239512245671507,0.003769473986075811,0.0,0.0,0.0,0.041212784197680916,0.9997876958149375
1742664820317067114,1742664820,314928584,odom,1.5264940763448627,0.0038743313608867007,0.0,0.0,0.0,0.05622542514793395,0.9996048637207222
1742664820365950863,1742664820,364547214,odom,1.5285248282704869,0.0039886317225182755,0.0,0.0,0.0,0.07123806609818699,0.9993657093077817
1742664820415645680,1742664820,414446718,odom,1.5301560300387482,0.004105032354271997,0.0,0.0,0.0,0.08604505443268315,0.9990746738159408
1742664820465724687,1742664820,464573652,odom,1.5314187371308992,0.0042139509896847675,0.0,0.0,0.0,0.10068752067457379,0.9987330205274763
1742664820515639154,1742664820,514436563,odom,1.5323034548302283,0.004303333277524832,0.0,0.0,0.0,0.11528885639331304,0.998339019961826
1742664820567057921,1742664820,565146523,odom,1.532932946058268,0.004376229856650695,0.0,0.0,0.0,0.12993132263520366,0.997890473525951
1742664820616004875,1742664820,614499520,odom,1.53339914596769,0.0044371470181245685,0.0,0.0,0.0,0.1448205720160026,0.9973795205259998
1742664820665727284,1742664820,664597564,odom,1.533793589642281,0.004494673306385666,0.0,0.0,0.0,0.15983321296625563,0.9968083672038734
1742664820716109592,1742664820,714547829,odom,1.5341366719921532,0.004549981040644732,0.0,0.0,0.0,0.17496924548596277,0.9961756604762027
1742664820755881860,1742664820,754529618,odom,1.534408423770361,0.00459802047793574,0.0,0.0,0.0,0.19006414748251854,0.9954878498189192
1742664820805582232,1742664820,804454105,odom,1.53460916132265,0.004636639644630122,0.0,0.0,0.0,0.20503565790962022,0.9947496481823167
1742664820855640479,1742664820,854546019,odom,1.5347392503010069,0.004663692690580381,0.0,0.0,0.0,0.21988377676726775,0.9939624756729218
1742664820905534724,1742664820,904453209,odom,1.5348389987366982,0.004685986205577963,0.0,0.0,0.0,0.23469076510176387,0.9931229274388668
1742664820955729863,1742664820,954571828,odom,1.5349085839260563,0.004702623799350831,0.0,0.0,0.0,0.24945662291310863,0.9922315033062614
1742664821006137837,1742664821,4608778,odom,1.5349878204337482,0.004722810345326785,0.0,0.0,0.0,0.26434587229390755,0.9912778663181516
1742664821055767022,1742664821,54503115,odom,1.5350272840204888,0.004733492363814366,0.0,0.0,0.0,0.2793173827210092,0.9902635658064066
1742664821105728619,1742664821,104586770,odom,1.5350469336425097,0.004739128178200378,0.0,0.0,0.0,0.2943711541944137,0.9891877434698497
1742664821155564826,1742664821,154456792,odom,1.5350664962010552,0.004745059143762852,0.0,0.0,0.0,0.30934266462151533,0.9880622171601128
1742664821205761408,1742664821,204563668,odom,1.5350859677750102,0.004751282314744278,0.0,0.0,0.0,0.3242319140023142,0.9868879631097711
1742664821255603577,1742664821,254513099,odom,1.535095656155385,0.004754538508542378,0.0,0.0,0.0,0.33916229390626457,0.9856555429954245
1742664821305784011,1742664821,304712810,odom,1.5351149335276688,0.004761339461944623,0.0,0.0,0.0,0.3540515432870635,0.9843718152826765
1742664821356001556,1742664821,355000782,odom,1.5351341075058444,0.004768426676508328,0.0,0.0,0.0,0.36894079266786234,0.9830335315371969
1742664821405758132,1742664821,404692598,odom,1.5351627070060518,0.004779484533395407,0.0,0.0,0.0,0.3837889115255099,0.9816446883216197
1742664821456958117,1742664821,455412150,odom,1.5351911391713589,0.004790965804535678,0.0,0.0,0.0,0.3987192914294602,0.9801935956499609
1742664821505701511,1742664821,504578199,odom,1.5352288159486907,0.0048068384428575275,0.0,0.0,0.0,0.4136908018565619,0.9786836546090063
1742664821555472661,1742664821,554457239,odom,1.5352568921434653,0.004819164630346643,0.0,0.0,0.0,0.42870344280681494,0.9771144974740273
1742664821605674614,1742664821,604586969,odom,1.5352940761291456,0.004836159670986195,0.0,0.0,0.0,0.44367495323391665,0.9754948102559833
1742664821655571173,1742664821,654464879,odom,1.5353217701690296,0.00484932203270225,0.0,0.0,0.0,0.45860533313786694,0.9738251346069084
1742664821705979887,1742664821,704543756,odom,1.5353492646104856,0.004862896394568159,0.0,0.0,0.0,0.47353571304181724,0.9721011888495212
1742664821746508888,1742664821,745031052,odom,1.5353765533246697,0.004876879730694368,0.0,0.0,0.0,0.48838383189946477,0.9703330140989186
1742664821795747178,1742664821,794524680,odom,1.5354036314121757,0.004891266696602882,0.0,0.0,0.0,0.5032319507571122,0.9685113580806841
1742664821845773221,1742664821,844523370,odom,1.535439446733673,0.0049109832618070845,0.0,0.0,0.0,0.5181212001379112,0.9666310531455855
1742664821895554278,1742664821,894542171,odom,1.535466085081885,0.004926168979293244,0.0,0.0,0.0,0.5329693189955587,0.9647025913067448
1742664821945568747,1742664821,944515509,odom,1.5355012983362577,0.004946941723789228,0.0,0.0,0.0,0.5478585683763576,0.9627153954940967
1742664821996525784,1742664821,994986688,odom,1.5355361984083482,0.004968236445329642,0.0,0.0,0.0,0.5627478177571565,0.96067484389473
1742664822046306322,1742664822,44808505,odom,1.5355707775613114,0.004990048423180264,0.0,0.0,0.0,0.5776370671379556,0.9585810496004646
